dataset_version,race_id,race_date,source,state,track_slug,race_number,scheduled_start_at,feature_distance_metres,feature_track_condition_raw,feature_going_bucket,feature_rail_position,feature_race_class_raw,feature_race_type,feature_class_family,feature_group_grade,feature_benchmark,feature_class_number,feature_age_condition,feature_sex_condition,feature_field_size,feature_barrier_coverage,feature_barrier_mean,feature_barrier_spread,feature_profiled_runner_count,feature_profiled_runner_coverage,feature_likely_leader_count,feature_on_pace_count,feature_field_median_prior_early_relative,feature_field_median_prior_position_800,feature_temperature_c,feature_humidity_pct,feature_precipitation_mm,feature_wind_direction_deg,feature_wind_speed_kmh,feature_weather_observed_at,feature_weather_point_in_time_safe,feature_headwind_component_kmh,feature_crosswind_component_kmh,feature_course_geometry_available,feature_rail_timestamp_verified,feature_condition_timestamp_verified,target_sectional_runners,target_finished_runners,target_sectional_coverage,target_early_score,target_middle_score,target_late_score,target_pace_label,target_label_confidence
expected-tempo-step1-v1,2023-08-26|the-valley|6,2023-08-26,racing-com-rv-authorised,VIC,the-valley,6,2023-08-26T05:30:00.000Z,1200,Good,good,Out 4m Entire Circuit,"Set Weights plus Penalties. Three-Years-Old, Fillies. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 13. VOBIS Silver Nominators Bonus of $7,000 and a VOBIS Silver Owners Bonus of $23,000.",,other,,,,,,11,1.0,6.0,10.0,0,0.0,0,0,,,14.1,61.0,0.0,250.0,1.8,2023-08-26T05:00:00+00:00,1,,,0,0,0,11,11,1.0,2.2483025315886187,-4.0,-0.7038164446712343,very_fast_early,0.8375
expected-tempo-step1-v1,2023-08-26|the-valley|10,2023-08-26,racing-com-rv-authorised,VIC,the-valley,10,2023-08-26T07:45:00.000Z,1200,Good,good,Out 4m Entire Circuit,"Handicap. No age restriction, No sex restriction. BenchMark 84. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 13.",,benchmark,,,,,,7,1.0,4.0,6.0,0,0.0,0,0,,,13.1,72.0,0.0,180.0,13.0,2023-08-26T07:00:00+00:00,1,,,0,0,0,7,7,1.0,3.7348667427733697,2.875000000000014,-2.1454546498244746,pace_collapse,0.8450000000000001
expected-tempo-step1-v1,2023-09-02|caulfield|3,2023-09-02,racing-com-rv-authorised,VIC,caulfield,3,2023-09-02T03:10:00.000Z,1400,Good,good,True Entire Circuit,"Handicap. Four-Years-Old and Upwards, Mares. BenchMark 84. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 16.",Handicap,benchmark,,84,,Four-Years-Old and Upwards,Mares,10,1.0,5.5,9.0,0,0.0,0,0,,,13.0,69.0,0.0,190.0,11.2,2023-09-02T03:00:00+00:00,1,,,0,0,0,10,10,1.0,-0.23543545377956865,-2.1050041284764176,1.30214188287841,even,0.8375
expected-tempo-step1-v1,2023-09-02|caulfield|5,2023-09-02,racing-com-rv-authorised,VIC,caulfield,5,2023-09-02T04:20:00.000Z,1200,Good,good,True Entire Circuit,"Set Weights plus Penalties. Group 3. Three-Years-Old, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16. VOBIS Silver Nominators Bonus of $10,000.",Set Weights plus Penalties,group_3,3,,,Three-Years-Old,,9,1.0,5.0,8.0,0,0.0,0,0,,,13.5,66.0,0.0,200.0,13.0,2023-09-02T04:00:00+00:00,1,,,0,0,0,9,9,1.0,0.738727974664837,1.3500000000000156,0.1486166080202688,sustained_high_pressure,0.8525
expected-tempo-step1-v1,2023-09-02|caulfield|7,2023-09-02,racing-com-rv-authorised,VIC,caulfield,7,2023-09-02T05:35:00.000Z,1200,Good,good,True Entire Circuit,"Set Weights plus Penalties. Group 3. Four-Years-Old and Upwards, Mares. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16.",Set Weights plus Penalties,group_3,3,,,Four-Years-Old and Upwards,Mares,11,1.0,6.0,10.0,0,0.0,0,0,,,13.6,64.0,0.0,220.0,16.6,2023-09-02T05:00:00+00:00,1,,,0,0,0,11,11,1.0,0.4283262487187098,-4.0,1.7579812348060126,even,0.8600000000000001
expected-tempo-step1-v1,2023-09-02|caulfield|9,2023-09-02,racing-com-rv-authorised,VIC,caulfield,9,2023-09-02T06:50:00.000Z,1400,Good,good,True Entire Circuit,"Standard Weight for Age. Group 1. Three-Years-Old and Upwards, No sex restriction. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 16.",,group_1,1,,,Three-Years-Old,,14,1.0,7.5,13.0,0,0.0,0,0,,,14.0,59.0,0.0,210.0,13.0,2023-09-02T06:00:00+00:00,1,,,0,0,0,14,14,1.0,-1.4623413104618557,0.14583583988683338,1.0239678369256058,sprint_home,0.8450000000000001
expected-tempo-step1-v1,2023-09-02|caulfield|10,2023-09-02,racing-com-rv-authorised,VIC,caulfield,10,2023-09-02T07:25:00.000Z,1400,Good,good,True Entire Circuit,"Handicap. No age restriction, No sex restriction. BenchMark 100. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 16.",Handicap,benchmark,,100,,,,14,1.0,7.5,13.0,0,0.0,0,0,,,13.0,61.0,0.0,190.0,11.2,2023-09-02T07:00:00+00:00,1,,,0,0,0,14,14,1.0,0.5757847946751394,-0.623903952515849,-0.15087293304081928,fast_early,0.8525
expected-tempo-step1-v1,2023-09-09|the-valley|2,2023-09-09,racing-com-rv-authorised,VIC,the-valley,2,2023-09-09T02:40:00.000Z,1600,Good,good,True Entire Circuit,"Handicap. No age restriction, No sex restriction. BenchMark 70. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 15.",,benchmark,,,,,,11,1.0,6.0,10.0,0,0.0,0,0,,,12.2,59.0,0.2,290.0,29.5,2023-09-09T02:00:00+00:00,1,,,0,0,0,11,11,1.0,0.028339947877174365,-0.6744907594765952,0.4955442314521981,even,0.8375
expected-tempo-step1-v1,2023-09-09|the-valley|4,2023-09-09,racing-com-rv-authorised,VIC,the-valley,4,2023-09-09T03:50:00.000Z,1200,Good,good,True Entire Circuit,"Handicap. No age restriction, No sex restriction. No class restriction. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 14.",,other,,,,,,6,1.0,3.5,5.0,0,0.0,0,0,,,13.2,49.0,0.1,250.0,22.3,2023-09-09T03:00:00+00:00,1,,,0,0,0,6,6,1.0,-0.5536864443464616,-2.8999999999999915,0.6042313053644445,slow_early,0.8375
expected-tempo-step1-v1,2023-09-09|the-valley|5,2023-09-09,racing-com-rv-authorised,VIC,the-valley,5,2023-09-09T04:25:00.000Z,1200,Good,good,True Entire Circuit,"Set Weights plus Penalties. Listed. Three-Years-Old, Colts and Geldings. No class restriction. Apprentices cannot claim. Track name: Main. Track type: Turf. Field limit: 14. VOBIS Silver Nominators Bonus of $10,000.",,listed,,,,,,6,1.0,3.5,5.0,0,0.0,0,0,,,13.1,50.0,0.0,280.0,16.6,2023-09-09T04:00:00+00:00,1,,,0,0,0,6,6,1.0,-0.6105304288365779,-3.473124059991403,2.6377406486674193,slow_early,0.8450000000000001
